Date,Magasin,PDV,Numéro d'équipe,Type,Employé,Commentaire,Montant
18/04/2022 14:25,Esprit Sushi Fribourg,Caisse principal 3,781,Payout,Propriétaire,"Postfinance ",650.00
05/04/2022 16:30,Esprit Sushi Fribourg,SamsungA40,521,Payout,Propriétaire,"Postfinance ",500.00
03/04/2022 22:33,Esprit Sushi Fribourg,Caisse principal 3,780,Payout,Propriétaire,"Postfinance ",700.00
03/04/2022 22:02,Esprit Sushi Fribourg,SamsungA40,520,Payout,Propriétaire,Pourbouire,4.00
31/03/2022 18:09,Esprit Sushi Fribourg,Caisse principal 3,780,Entrée,Propriétaire,,40.00
31/03/2022 18:08,Esprit Sushi Fribourg,SamsungA40,517,Payout,Propriétaire,,40.00
29/03/2022 15:33,Esprit Sushi Fribourg,SamsungA40,516,Payout,Propriétaire,"Postfinance ",200.00
26/03/2022 21:28,Esprit Sushi Fribourg,SamsungA40,513,Payout,Propriétaire,"Pourboire carte ",3.50
25/03/2022 20:06,Esprit Sushi Fribourg,Caisse principal 3,780,Payout,Propriétaire,"Pourboire Carte ",1.50
25/03/2022 08:07,Esprit Sushi Fribourg,Caisse principal 3,779,Payout,Propriétaire,,3450.00
24/03/2022 19:27,Esprit Sushi Fribourg,Caisse principal 3,779,Entrée,Propriétaire,"Depuis porte-monnaie ",600.00
24/03/2022 19:27,Esprit Sushi Fribourg,SamsungA40,511,Payout,Propriétaire,"Vers caisse ",600.00
13/03/2022 19:59,Esprit Sushi Fribourg,SamsungA40,504,Payout,Propriétaire,"Vers caisse ",400.00
13/03/2022 19:47,Esprit Sushi Fribourg,Caisse principal 3,779,Entrée,Propriétaire,"Depuis porte-monnaie ",400.00
04/03/2022 21:19,Esprit Sushi Fribourg,Caisse principal 3,779,Entrée,Propriétaire,"Depuis porte-monnaie ",220.00
04/03/2022 21:18,Esprit Sushi Fribourg,SamsungA40,496,Payout,Propriétaire,"Vers caisse ",220.00
03/03/2022 21:30,Esprit Sushi Fribourg,SamsungA40,495,Entrée,Propriétaire,Erreur solde 897.75,400.00
03/03/2022 18:10,Esprit Sushi Fribourg,Caisse principal 3,779,Entrée,Propriétaire,Depuis porte-monnaie,400.00
03/03/2022 18:09,Esprit Sushi Fribourg,SamsungA40,495,Payout,Propriétaire,Vers caisse,400.00
27/02/2022 17:45,Esprit Sushi Fribourg,Caisse principal 3,779,Entrée,Propriétaire,"Depuis porte-monnaie ",350.00
27/02/2022 17:44,Esprit Sushi Fribourg,SamsungA40,492,Payout,Propriétaire,"Vers caisse ",350.00
16/02/2022 18:12,Esprit Sushi Fribourg,SamsungA40,484,Payout,Propriétaire,,200.00
15/02/2022 22:09,Esprit Sushi Fribourg,Caisse principal 3,778,Payout,Propriétaire,"Postfinance ",1200.00
10/02/2022 18:07,Esprit Sushi Fribourg,SamsungA40,479,Payout,Propriétaire,,100.00
08/02/2022 16:49,Esprit Sushi Fribourg,SamsungA40,477,Payout,Propriétaire,"Postfinance ",400.00
01/02/2022 17:12,Esprit Sushi Fribourg,SamsungA40,471,Entrée,Propriétaire,"Monnaie ",20.00
01/02/2022 17:12,Esprit Sushi Fribourg,SamsungA40,471,Payout,Propriétaire,"Postfinance ",550.00
31/01/2022 11:18,Esprit Sushi Fribourg,Caisse principal 3,777,Payout,Propriétaire,,450.00
27/01/2022 17:44,Esprit Sushi Fribourg,SamsungA40,467,Payout,Propriétaire,"Postfinance ",300.00
18/01/2022 16:17,Esprit Sushi Fribourg,SamsungA40,459,Entrée,Propriétaire,"Monnaie ",11.00
16/01/2022 22:40,Esprit Sushi Fribourg,SamsungA40,458,Payout,Propriétaire,,600.00
16/01/2022 22:32,Esprit Sushi Fribourg,Caisse principal 3,777,Payout,Propriétaire,"Postfinance ",650.00
11/01/2022 15:29,Esprit Sushi Fribourg,SamsungA40,452,Payout,Propriétaire,"Postfinance ",550.00
10/01/2022 00:07,Esprit Sushi Fribourg,Caisse principal 3,776,Payout,Propriétaire,"Postfinance ",300.00
09/01/2022 21:47,Esprit Sushi Fribourg,SamsungA40,451,Payout,Propriétaire,"Pourboire carte ",2.00
02/01/2022 23:28,Esprit Sushi Fribourg,Caisse principal 3,775,Payout,Propriétaire,"Postfinance ",950.00
02/01/2022 16:20,Esprit Sushi Fribourg,SamsungA40,445,Payout,Propriétaire,"Postfinance ",500.00
31/12/2021 16:36,Esprit Sushi Fribourg,SamsungA40,444,Payout,Propriétaire,Pourboire carte,1.50
20/12/2021 13:38,Esprit Sushi Fribourg,Caisse principal 3,774,Payout,Propriétaire,"Postfinance ",150.00
20/12/2021 13:37,Esprit Sushi Fribourg,Caisse principal 3,774,Payout,Propriétaire,"Postfinance ",1800.00
20/12/2021 13:34,Esprit Sushi Fribourg,SamsungA40,435,Payout,Propriétaire,"Postfinance ",600.00
14/12/2021 16:19,Esprit Sushi Fribourg,SamsungA40,429,Payout,Propriétaire,"Postfinance ",450.00
08/12/2021 18:22,Esprit Sushi Fribourg,Caisse principal 3,774,Entrée,Propriétaire,,200.00
08/12/2021 18:21,Esprit Sushi Fribourg,SamsungA40,424,Payout,Propriétaire,,200.00
07/12/2021 16:08,Esprit Sushi Fribourg,SamsungA40,423,Payout,Propriétaire,"Postfinance ",200.00
05/12/2021 22:48,Esprit Sushi Fribourg,Caisse principal 3,774,Entrée,Propriétaire,"Solde veille ",1573.20
03/12/2021 21:05,Esprit Sushi Fribourg,Caisse principal 3,773,Entrée,Propriétaire,"Depuis porte-monnaie ",300.00
03/12/2021 21:04,Esprit Sushi Fribourg,SamsungA40,420,Payout,Propriétaire,"Vers caisse ",300.00
03/12/2021 21:03,Esprit Sushi Fribourg,SamsungA40,420,Entrée,Propriétaire,"Monnaie ",5.00
30/11/2021 16:35,Esprit Sushi Fribourg,SamsungA40,417,Payout,Propriétaire,"Postfinance ",300.00
28/11/2021 22:51,Esprit Sushi Fribourg,Caisse principal 3,773,Entrée,Propriétaire,"Depuis porte-monnaie ",300.00
27/11/2021 18:10,Esprit Sushi Fribourg,Caisse principal 3,773,Entrée,Propriétaire,,300.00
27/11/2021 18:10,Esprit Sushi Fribourg,SamsungA40,415,Payout,Propriétaire,,300.00
23/11/2021 14:57,Esprit Sushi Fribourg,Caisse principal 3,773,Payout,Propriétaire,"Postfinance ",650.00
23/11/2021 14:54,Esprit Sushi Fribourg,SamsungA40,411,Payout,Propriétaire,"Postfinance ",200.00
19/11/2021 22:19,Esprit Sushi Fribourg,Caisse principal 3,773,Entrée,Propriétaire,"Depuis porte-monnaie ",500.00
19/11/2021 22:19,Esprit Sushi Fribourg,SamsungA40,408,Payout,Propriétaire,"Vers caisse ",500.00
17/11/2021 18:03,Esprit Sushi Fribourg,SamsungA40,406,Payout,Propriétaire,"Poste finance ",200.00
17/11/2021 10:59,Esprit Sushi Fribourg,Caisse principal 3,772,Payout,Propriétaire,"Postfinance ",400.00
09/11/2021 14:40,Esprit Sushi Fribourg,SamsungA40,399,Payout,Propriétaire,"Postfinance ",250.00
06/11/2021 22:09,Esprit Sushi Fribourg,SamsungA40,397,Payout,Propriétaire,Pourboire,4.10
02/11/2021 15:55,Esprit Sushi Fribourg,SamsungA40,394,Payout,Propriétaire,"Postfinance ",148.00
02/11/2021 15:24,Esprit Sushi Fribourg,Caisse principal 3,771,Payout,Propriétaire,"Postfinance ",90.00
26/10/2021 16:40,Esprit Sushi Fribourg,SamsungA40,388,Payout,Propriétaire,"Postfinance ",200.00
24/10/2021 22:28,Esprit Sushi Fribourg,Caisse principal 3,770,Payout,Propriétaire,"Postfinance ",470.00
23/10/2021 18:16,Esprit Sushi Fribourg,Caisse principal 3,769,Entrée,Propriétaire,,400.00
23/10/2021 18:16,Esprit Sushi Fribourg,SamsungA40,386,Payout,Propriétaire,,400.00
22/10/2021 20:27,Esprit Sushi Fribourg,SamsungA40,385,Payout,Propriétaire,"Pourboire carte ",4.50
19/10/2021 16:12,Esprit Sushi Fribourg,SamsungA40,382,Payout,Propriétaire,"Postfinance ",100.00
17/10/2021 22:54,Esprit Sushi Fribourg,Caisse principal 3,768,Payout,Propriétaire,"Postfinance ",330.00
12/10/2021 17:31,Esprit Sushi Fribourg,SamsungA40,377,Payout,Propriétaire,"Postfinance ",350.00
10/10/2021 23:38,Esprit Sushi Fribourg,Caisse principal 3,767,Payout,Propriétaire,"Postfinance ",550.00
07/10/2021 20:45,Esprit Sushi Fribourg,Caisse principal 3,767,Entrée,Propriétaire,"Depuis porte-monnaie ",100.00
07/10/2021 20:45,Esprit Sushi Fribourg,SamsungA40,372,Payout,Propriétaire,"Vers caisse ",100.00
03/10/2021 23:00,Esprit Sushi Fribourg,Caisse principal 3,767,Payout,Propriétaire,"Postfinance ",860.00
03/10/2021 18:10,Esprit Sushi Fribourg,Caisse principal 3,767,Entrée,Propriétaire,,580.00
03/10/2021 18:09,Esprit Sushi Fribourg,SamsungA40,369,Payout,Propriétaire,,580.00
30/09/2021 00:08,Esprit Sushi Fribourg,Caisse principal 3,767,Entrée,Propriétaire,"Monnaie ",100.00
30/09/2021 00:08,Esprit Sushi Fribourg,Caisse principal 3,767,Payout,Propriétaire,Essence,52.00
26/09/2021 21:57,Esprit Sushi Fribourg,SamsungA40,363,Payout,Propriétaire,"Postfinance ",400.00
26/09/2021 21:55,Esprit Sushi Fribourg,Caisse principal 3,766,Payout,Propriétaire,"Postfinance ",920.00
24/09/2021 22:14,Esprit Sushi Fribourg,SamsungA40,360,Entrée,Propriétaire,Erreur veille,44.90
22/09/2021 22:52,Esprit Sushi Fribourg,Caisse principal 3,765,Payout,Propriétaire,"Courses ",100.00
22/09/2021 21:19,Esprit Sushi Fribourg,Caisse principal 3,765,Entrée,Propriétaire,"Depuis porte-monnaie ",400.00
22/09/2021 21:19,Esprit Sushi Fribourg,SamsungA40,358,Payout,Propriétaire,"Vers caisse ",400.00
21/09/2021 23:07,Esprit Sushi Fribourg,Caisse principal 3,764,Payout,Propriétaire,"Postfinance ",650.00
19/09/2021 22:23,Esprit Sushi Fribourg,Caisse principal 3,764,Entrée,Propriétaire,"Depuis porte-monnaie ",300.00
19/09/2021 22:22,Esprit Sushi Fribourg,SamsungA40,356,Payout,Propriétaire,"Vers caisse ",300.00
12/09/2021 23:42,Esprit Sushi Fribourg,SamsungA40,349,Payout,Propriétaire,"Postfinance ",300.00
12/09/2021 23:38,Esprit Sushi Fribourg,Caisse principal 3,763,Payout,Propriétaire,"Postfinance ",150.00
05/09/2021 23:24,Esprit Sushi Fribourg,Caisse principal 3,763,Payout,Propriétaire,"Postfinance ",340.00
05/09/2021 23:22,Esprit Sushi Fribourg,SamsungA40,341,Payout,Propriétaire,"Postfinance ",300.00
02/09/2021 16:46,Esprit Sushi Fribourg,Caisse principal 3,763,Entrée,Propriétaire,"Solde lundi ",334.30
31/08/2021 16:08,Esprit Sushi Fribourg,SamsungA40,332,Payout,Propriétaire,"Postfinance ",400.00
30/08/2021 11:02,Esprit Sushi Fribourg,Caisse principal 3,762,Payout,Propriétaire,"Postfinance ",300.00
27/08/2021 21:51,Esprit Sushi Fribourg,SamsungA40,328,Payout,Propriétaire,"Pourboire carte ",4.10
26/08/2021 17:27,Esprit Sushi Fribourg,Caisse principal 3,762,Payout,Propriétaire,,115.00
25/08/2021 17:59,Esprit Sushi Fribourg,Caisse principal 3,761,Entrée,Propriétaire,"Depuis porte-monnaie ",200.00
25/08/2021 17:59,Esprit Sushi Fribourg,SamsungA40,327,Payout,Propriétaire,"Vers caisse ",200.00
23/08/2021 18:37,Esprit Sushi Fribourg,Caisse principal 3,760,Payout,Propriétaire,"Postfinance ",200.00
23/08/2021 18:36,Esprit Sushi Fribourg,SamsungA40,325,Payout,Propriétaire,"Postfinance ",400.00
21/08/2021 20:04,Esprit Sushi Fribourg,SamsungA40,323,Payout,Propriétaire,"Pourboire carte ",0.50
20/08/2021 22:53,Esprit Sushi Fribourg,Caisse principal 3,758,Entrée,Propriétaire,"Solde veille ",389.00
20/08/2021 22:53,Esprit Sushi Fribourg,Caisse principal 3,758,Entrée,Propriétaire,,389.00
20/08/2021 22:53,Esprit Sushi Fribourg,Caisse principal 3,758,Payout,Propriétaire,,389.00
11/07/2021 19:25,Esprit Sushi Fribourg,Caisse principal 3,756,Payout,Propriétaire,"Pourboire Carte ",1.50
07/07/2021 20:24,Esprit Sushi Fribourg,SamsungA40,313,Payout,Propriétaire,"Pourboire carte ",1.50
07/07/2021 17:57,Esprit Sushi Fribourg,SamsungA40,313,Payout,Propriétaire,"Postfinance ",450.00
03/07/2021 18:25,Esprit Sushi Fribourg,Caisse principal 3,756,Payout,Propriétaire,Pourboire Carte,2.00
29/06/2021 15:50,Esprit Sushi Fribourg,SamsungA40,307,Payout,Propriétaire,"Postfinance ",200.00
28/06/2021 12:24,Esprit Sushi Fribourg,Caisse principal 3,755,Payout,Propriétaire,"Postfinance ",1170.00
27/06/2021 18:03,Esprit Sushi Fribourg,Caisse principal 3,755,Entrée,Propriétaire,Porte-monnaie,700.00
27/06/2021 18:02,Esprit Sushi Fribourg,SamsungA40,306,Payout,Propriétaire,"Caisse ",700.00
26/06/2021 21:20,Esprit Sushi Fribourg,SamsungA40,305,Payout,Propriétaire,Nettoyage voiture,3.00
22/06/2021 16:17,Esprit Sushi Fribourg,SamsungA40,301,Payout,Propriétaire,"Postfinance ",400.00
21/06/2021 14:11,Esprit Sushi Fribourg,Caisse principal 3,754,Payout,Propriétaire,"Postfinance ",200.00
17/06/2021 17:26,Esprit Sushi Fribourg,Caisse principal 3,754,Payout,Propriétaire,"Courses ",100.00
14/06/2021 16:17,Esprit Sushi Fribourg,Caisse principal 3,754,Entrée,Propriétaire,"Monnaie ",100.00
14/06/2021 16:14,Esprit Sushi Fribourg,Caisse principal 3,754,Payout,Propriétaire,"Postfinance ",700.00
12/06/2021 21:47,Esprit Sushi Fribourg,Caisse principal 3,754,Entrée,Propriétaire,"Depuis porte-monnaie ",400.00
12/06/2021 21:47,Esprit Sushi Fribourg,SamsungA40,295,Payout,Propriétaire,"Vers caisse ",400.00
10/06/2021 21:22,Esprit Sushi Fribourg,Caisse principal 3,754,Payout,Propriétaire,Pourboire Carte,1.10
07/06/2021 17:50,Esprit Sushi Fribourg,Caisse principal 3,753,Payout,Propriétaire,"Postfinance ",1100.00
07/06/2021 17:43,Esprit Sushi Fribourg,Caisse principal 3,753,Payout,Propriétaire,"Course ",50.00
06/06/2021 20:57,Esprit Sushi Fribourg,Caisse principal 3,753,Entrée,Propriétaire,Porte-monnaie,300.00
06/06/2021 20:57,Esprit Sushi Fribourg,SamsungA40,291,Payout,Propriétaire,"Caisse ",300.00
06/06/2021 16:26,Esprit Sushi Fribourg,Caisse principal 3,753,Payout,Propriétaire,"Courses ",70.00
05/06/2021 18:28,Esprit Sushi Fribourg,SamsungA40,290,Payout,Propriétaire,"Pourboire carte ",4.50
05/06/2021 17:56,Esprit Sushi Fribourg,Caisse principal 3,753,Entrée,Propriétaire,Porte-monnaie,300.00
05/06/2021 17:55,Esprit Sushi Fribourg,SamsungA40,290,Payout,Propriétaire,"Caisse ",300.00
31/05/2021 11:45,Esprit Sushi Fribourg,SamsungA40,286,Payout,Propriétaire,"Postfinance ",350.00
31/05/2021 11:41,Esprit Sushi Fribourg,Caisse principal 3,753,Payout,Propriétaire,"Postfinance ",3000.00
27/05/2021 21:19,Esprit Sushi Fribourg,Caisse principal 3,753,Entrée,Propriétaire,Porte-monnaie,450.00
27/05/2021 21:18,Esprit Sushi Fribourg,SamsungA40,282,Payout,Propriétaire,"Caisse ",450.00
23/05/2021 21:28,Esprit Sushi Fribourg,Caisse principal 3,753,Entrée,Propriétaire,Porte-monnaie,200.00
23/05/2021 21:27,Esprit Sushi Fribourg,SamsungA40,280,Payout,Propriétaire,"Caisse ",200.00
22/05/2021 18:01,Esprit Sushi Fribourg,Caisse principal 3,753,Entrée,Propriétaire,Porte-monnaie,1250.00
22/05/2021 18:00,Esprit Sushi Fribourg,SamsungA40,279,Payout,Propriétaire,"Caisse ",1250.00
20/05/2021 17:59,Esprit Sushi Fribourg,SamsungA40,277,Entrée,Propriétaire,Monnaie,2.00
16/05/2021 00:52,Esprit Sushi Fribourg,Caisse principal 3,752,Payout,Propriétaire,"Postfinance ",2080.00
13/05/2021 17:58,Esprit Sushi Fribourg,Caisse principal 3,752,Entrée,Propriétaire,Porte-monnaie,200.00
13/05/2021 17:57,Esprit Sushi Fribourg,SamsungA40,272,Payout,Propriétaire,"Caisse ",200.00
09/05/2021 18:09,Esprit Sushi Fribourg,Caisse principal 3,752,Entrée,Propriétaire,Porte-monnaie,550.00
09/05/2021 18:07,Esprit Sushi Fribourg,SamsungA40,269,Payout,Propriétaire,"Caisse ",550.00
07/05/2021 22:08,Esprit Sushi Fribourg,SamsungA40,267,Payout,Propriétaire,"Pourboire carte ",5.60
04/05/2021 16:11,Esprit Sushi Fribourg,SamsungA40,266,Payout,Propriétaire,"Postfinance ",400.00
29/04/2021 21:27,Esprit Sushi Fribourg,Caisse principal 3,751,Entrée,Propriétaire,Porte-monnaie,350.00
29/04/2021 21:08,Esprit Sushi Fribourg,SamsungA40,263,Payout,Propriétaire,"Caisse ",350.00
29/04/2021 19:52,Esprit Sushi Fribourg,Caisse principal 3,751,Payout,Propriétaire,Pourboire Carte,2.00
26/04/2021 16:43,Esprit Sushi Fribourg,Caisse principal 3,751,Payout,Propriétaire,"Postfinance ",550.00
25/04/2021 21:11,Esprit Sushi Fribourg,Caisse principal 3,751,Entrée,Propriétaire,Porte-monnaie,350.00
25/04/2021 21:10,Esprit Sushi Fribourg,SamsungA40,260,Payout,Propriétaire,"Caisse ",350.00
23/04/2021 00:05,Esprit Sushi Fribourg,Caisse principal 3,751,Payout,Propriétaire,"Postfinance ",750.00
22/04/2021 18:02,Esprit Sushi Fribourg,Caisse principal 3,751,Entrée,Propriétaire,Porte-monnaie,400.00
22/04/2021 18:01,Esprit Sushi Fribourg,SamsungA40,258,Payout,Propriétaire,"Caisse ",400.00
19/04/2021 12:44,Esprit Sushi Fribourg,Caisse principal 3,750,Payout,Propriétaire,"Postfinance ",280.00
17/04/2021 18:51,Esprit Sushi Fribourg,Caisse principal 3,750,Payout,Propriétaire,Pourboire Carte,1.50
13/04/2021 21:43,Esprit Sushi Fribourg,Caisse principal 3,748,Entrée,Propriétaire,"Erreur caisse porte-monnaie ",21.00
13/04/2021 21:43,Esprit Sushi Fribourg,SamsungA40,252,Payout,Propriétaire,"Erreur caisse  portemonnaie ",21.00
13/04/2021 17:24,Esprit Sushi Fribourg,SamsungA40,252,Payout,Propriétaire,"Postfinance ",400.00
11/04/2021 22:41,Esprit Sushi Fribourg,Caisse principal 3,747,Payout,Propriétaire,"Postfinance ",500.00
11/04/2021 22:40,Esprit Sushi Fribourg,Caisse principal 3,747,Entrée,Propriétaire,"Solde veille ",606.50
06/04/2021 23:15,Esprit Sushi Fribourg,SamsungA40,246,Payout,Propriétaire,"Erreur ",36.50
06/04/2021 23:07,Esprit Sushi Fribourg,SamsungA40,246,Entrée,Propriétaire,"Erreur attribution remboursement ",36.50
05/04/2021 20:30,Esprit Sushi Fribourg,Caisse principal 3,743,Payout,Propriétaire,"Postfinance ",390.00
05/04/2021 20:26,Esprit Sushi Fribourg,SamsungA40,245,Payout,Propriétaire,"Postfinance ",750.00
01/04/2021 23:53,Esprit Sushi Fribourg,Caisse principal 3,741,Payout,Propriétaire,Courses,50.00
31/03/2021 13:54,Esprit Sushi Fribourg,Caisse principal 3,741,Entrée,Propriétaire,"Monnaie ",60.00
30/03/2021 22:21,Esprit Sushi Fribourg,SamsungA40,242,Payout,Propriétaire,"Pourboire carte ",11.60
30/03/2021 16:14,Esprit Sushi Fribourg,SamsungA40,240,Payout,Propriétaire,Post,100.00
30/03/2021 16:14,Esprit Sushi Fribourg,Caisse principal 3,739,Payout,Propriétaire,"Postfinance ",920.00
28/03/2021 17:55,Esprit Sushi Fribourg,Caisse principal 3,739,Entrée,Propriétaire,Porte-monnaie,300.00
28/03/2021 17:55,Esprit Sushi Fribourg,SamsungA40,239,Payout,Propriétaire,"Caisse ",300.00
27/03/2021 22:40,Esprit Sushi Fribourg,Caisse principal 3,738,Payout,Propriétaire,"Courses ",20.00
27/03/2021 19:18,Esprit Sushi Fribourg,SamsungA40,238,Payout,Propriétaire,"Pourboire carte ",2.00
27/03/2021 17:42,Esprit Sushi Fribourg,Caisse principal 3,738,Entrée,Propriétaire,,935.10
27/03/2021 00:41,Esprit Sushi Fribourg,Caisse principal 3,737,Payout,Propriétaire,Courses,20.00
26/03/2021 21:57,Esprit Sushi Fribourg,SamsungA40,237,Payout,Propriétaire,Vers caisse,200.00
26/03/2021 21:57,Esprit Sushi Fribourg,Caisse principal 3,737,Entrée,Propriétaire,Porte-monnaie vere caisse,200.00
26/03/2021 21:56,Esprit Sushi Fribourg,Caisse principal 3,737,Entrée,Propriétaire,Porte-monnaie vert caisse,300.00
26/03/2021 21:54,Esprit Sushi Fribourg,SamsungA40,237,Payout,Propriétaire,Vers caisse,300.00
21/03/2021 22:32,Esprit Sushi Fribourg,Caisse principal 3,734,Payout,Propriétaire,"Postfinance ",1200.00
21/03/2021 21:17,Esprit Sushi Fribourg,Caisse principal 3,734,Entrée,Propriétaire,"Depuis porte-monnaie ",700.00
21/03/2021 21:14,Esprit Sushi Fribourg,SamsungA40,232,Payout,Propriétaire,Vers caisse,700.00
21/03/2021 20:35,Esprit Sushi Fribourg,Caisse principal 3,734,Entrée,Propriétaire,"Solde veille ",586.90
14/03/2021 23:49,Esprit Sushi Fribourg,Caisse principal 3,732,Payout,Propriétaire,"Postfinance ",1300.00
14/03/2021 23:48,Esprit Sushi Fribourg,Caisse principal 3,732,Entrée,Propriétaire,"De porte-monnaie ",350.00
14/03/2021 23:48,Esprit Sushi Fribourg,SamsungA40,226,Payout,Propriétaire,"Vers caisse ",350.00
13/03/2021 22:28,Esprit Sushi Fribourg,Caisse principal 3,732,Entrée,Propriétaire,Porte-monnaie,600.00
13/03/2021 22:27,Esprit Sushi Fribourg,SamsungA40,224,Payout,Propriétaire,"Caisse ",600.00
13/03/2021 18:40,Esprit Sushi Fribourg,SamsungA40,224,Payout,Propriétaire,"Pourboire carte ",1.00
09/03/2021 21:47,Esprit Sushi Fribourg,Caisse principal 3,732,Payout,Propriétaire,"Erreur Kouasmi ",75.50
09/03/2021 21:46,Esprit Sushi Fribourg,SamsungA40,220,Entrée,Propriétaire,Erreur kouasni affectation caisse,75.50
09/03/2021 15:47,Esprit Sushi Fribourg,SamsungA40,220,Payout,Propriétaire,"Postfinance ",500.00
07/03/2021 22:02,Esprit Sushi Fribourg,Caisse principal 3,732,Payout,Propriétaire,"Postfinance ",700.00
05/03/2021 17:49,Esprit Sushi Fribourg,Caisse principal 3,730,Entrée,Propriétaire,Porte-monnaie,300.00
05/03/2021 17:49,Esprit Sushi Fribourg,SamsungA40,217,Payout,Propriétaire,"Caisse ",300.00
28/02/2021 23:21,Esprit Sushi Fribourg,Caisse principal 3,726,Payout,Propriétaire,"Postfinance ",1800.00
28/02/2021 21:39,Esprit Sushi Fribourg,Caisse principal 3,726,Entrée,Propriétaire,Porte-monnaie,400.00
28/02/2021 21:39,Esprit Sushi Fribourg,SamsungA40,212,Payout,Propriétaire,"Caisse ",400.00
27/02/2021 22:37,Esprit Sushi Fribourg,Caisse principal 3,726,Entrée,Propriétaire,Porte-monnaie,400.00
27/02/2021 22:37,Esprit Sushi Fribourg,SamsungA40,211,Payout,Propriétaire,Caisse,400.00
27/02/2021 14:55,Esprit Sushi Fribourg,Caisse principal 3,726,Entrée,Propriétaire,"Depuis porte-monnaie ",400.00
25/02/2021 21:09,Esprit Sushi Fribourg,SamsungA40,209,Payout,Propriétaire,Vers caisse,400.00
23/02/2021 17:28,Esprit Sushi Fribourg,Caisse principal 3,726,Payout,Propriétaire,"Postfinance ",1100.00
23/02/2021 17:27,Esprit Sushi Fribourg,SamsungA40,208,Payout,Propriétaire,"Postfinance ",200.00
20/02/2021 22:18,Esprit Sushi Fribourg,Caisse principal 3,725,Entrée,Propriétaire,"Depuis porte-monnaie ",440.00
20/02/2021 22:17,Esprit Sushi Fribourg,SamsungA40,206,Payout,Propriétaire,Verre caisse,440.00
18/02/2021 21:42,Esprit Sushi Fribourg,Caisse principal 3,722,Entrée,Propriétaire,"Erreur remboursement Numa Courvoisier ",97.50
18/02/2021 21:42,Esprit Sushi Fribourg,SamsungA40,204,Payout,Propriétaire,Erreur remboursement Numa Corvoisier,97.50
17/02/2021 16:47,Esprit Sushi Fribourg,SamsungA40,202,Payout,Propriétaire,Postfinance,900.00
16/02/2021 23:32,Esprit Sushi Fribourg,Caisse principal 3,721,Payout,Propriétaire,"Postfinance ",1400.00
16/02/2021 23:30,Esprit Sushi Fribourg,Caisse principal 3,721,Entrée,Propriétaire,Porte-monnaie 2 roberto,520.90
16/02/2021 21:51,Esprit Sushi Fribourg,SamsungA40,202,Payout,Propriétaire,Erreur solde,6.00
