Magasin,PDV,Numéro d'équipe,Heure d'ouverture de quart de travail,Ouverture du service,Heure de fermeture de quart de travail,Le service est fermé,Espèces de départ,Règlement en espèces,Remboursements en espèces,Montant paiement entrant,Montant paiement sortant,Montant en espèces prévu,Montant en espèces réel,Différence
Esprit Sushi Fribourg,SamsungA40,577,21/06/2022 18:13,Propriétaire,21/06/2022 21:03,Propriétaire,337.60,0.00,0.00,0.00,70.00,267.60,267.60,0.00
Esprit Sushi Fribourg,SamsungA40,576,19/06/2022 18:26,Propriétaire,19/06/2022 21:24,Propriétaire,337.60,0.00,0.00,0.00,0.00,337.60,337.60,0.00
Esprit Sushi Fribourg,SamsungA40,575,18/06/2022 20:14,Propriétaire,18/06/2022 21:32,Propriétaire,302.10,35.50,0.00,0.00,0.00,337.60,337.60,0.00
Esprit Sushi Fribourg,SamsungA40,574,17/06/2022 18:27,Propriétaire,17/06/2022 21:31,Propriétaire,572.10,0.00,0.00,0.00,270.00,302.10,302.10,0.00
Esprit Sushi Fribourg,SamsungA40,573,16/06/2022 18:27,Propriétaire,16/06/2022 21:47,Propriétaire,460.20,201.50,85.50,0.00,4.10,572.10,572.10,0.00
Esprit Sushi Fribourg,SamsungA40,572,11/06/2022 18:34,Propriétaire,15/06/2022 21:05,Propriétaire,401.90,308.30,0.00,0.00,250.00,460.20,460.20,0.00
Esprit Sushi Fribourg,SamsungA40,571,11/06/2022 18:33,Propriétaire,11/06/2022 18:34,Propriétaire,400.90,0.00,0.00,0.00,0.00,400.90,400.90,0.00
Esprit Sushi Fribourg,SamsungA40,570,09/06/2022 18:18,Propriétaire,10/06/2022 21:51,Propriétaire,515.40,136.50,0.00,0.00,250.00,401.90,401.90,0.00
Esprit Sushi Fribourg,SamsungA40,569,07/06/2022 18:20,Propriétaire,08/06/2022 21:29,Propriétaire,492.40,23.00,0.00,0.00,0.00,515.40,515.40,0.00
Esprit Sushi Fribourg,SamsungA40,568,05/06/2022 19:00,Propriétaire,05/06/2022 22:23,Propriétaire,340.10,152.30,0.00,0.00,0.00,492.40,492.40,0.00
Esprit Sushi Fribourg,SamsungA40,567,04/06/2022 18:18,Propriétaire,04/06/2022 21:02,Propriétaire,340.10,0.00,0.00,0.00,0.00,340.10,340.10,0.00
Esprit Sushi Fribourg,SamsungA40,566,03/06/2022 18:40,Propriétaire,03/06/2022 21:29,Propriétaire,257.00,83.10,0.00,0.00,0.00,340.10,340.10,0.00
Esprit Sushi Fribourg,SamsungA40,565,03/06/2022 18:40,Propriétaire,03/06/2022 18:40,Propriétaire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Esprit Sushi Fribourg,SamsungA40,564,03/06/2022 18:40,Propriétaire,03/06/2022 18:40,Propriétaire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Esprit Sushi Fribourg,SamsungA40,563,03/06/2022 18:39,Propriétaire,03/06/2022 18:40,Propriétaire,0.00,0.00,0.00,0.00,0.00,0.00,257.00,257.00
Esprit Sushi Fribourg,SamsungA40,562,03/06/2022 18:39,Propriétaire,03/06/2022 18:39,Propriétaire,0.00,0.00,0.00,0.00,0.00,0.00,257.00,257.00
Esprit Sushi Fribourg,SamsungA40,561,03/06/2022 18:31,Propriétaire,03/06/2022 18:39,Propriétaire,357.00,0.00,0.00,0.00,0.00,357.00,357.00,0.00
Esprit Sushi Fribourg,SamsungA40,560,02/06/2022 18:07,Propriétaire,02/06/2022 21:28,Propriétaire,357.00,0.00,0.00,0.00,0.00,357.00,357.00,0.00
Esprit Sushi Fribourg,SamsungA40,559,01/06/2022 18:17,Propriétaire,01/06/2022 21:34,Propriétaire,288.00,69.00,0.00,0.00,0.00,357.00,357.00,0.00
Esprit Sushi Fribourg,SamsungA40,558,31/05/2022 18:30,Propriétaire,31/05/2022 21:32,Propriétaire,288.00,0.00,0.00,0.00,0.00,288.00,288.00,0.00
Esprit Sushi Fribourg,SamsungA40,557,27/05/2022 16:47,Propriétaire,27/05/2022 21:08,Propriétaire,648.00,0.00,0.00,0.00,360.00,288.00,288.00,0.00
Esprit Sushi Fribourg,SamsungA40,556,26/05/2022 18:19,Propriétaire,26/05/2022 21:48,Propriétaire,648.00,0.00,0.00,0.00,0.00,648.00,648.00,0.00
Esprit Sushi Fribourg,SamsungA40,555,25/05/2022 18:25,Propriétaire,25/05/2022 21:33,Propriétaire,562.00,86.00,0.00,0.00,0.00,648.00,648.00,0.00
Esprit Sushi Fribourg,SamsungA40,554,24/05/2022 21:11,Propriétaire,24/05/2022 21:16,Propriétaire,502.00,60.00,0.00,0.00,0.00,562.00,562.00,0.00
Esprit Sushi Fribourg,SamsungA40,553,22/05/2022 18:14,Propriétaire,22/05/2022 21:31,Propriétaire,377.00,125.00,0.00,0.00,0.00,502.00,502.00,0.00
Esprit Sushi Fribourg,SamsungA40,552,21/05/2022 17:44,Propriétaire,21/05/2022 20:32,Propriétaire,377.00,0.00,0.00,0.00,0.00,377.00,377.00,0.00
Esprit Sushi Fribourg,SamsungA40,551,20/05/2022 17:58,Propriétaire,20/05/2022 21:29,Propriétaire,377.00,0.00,0.00,0.00,0.00,377.00,377.00,0.00
Esprit Sushi Fribourg,Caisse principal 3,782,26/04/2022 19:30,Propriétaire,20/05/2022 11:58,Propriétaire,346.55,876.75,0.00,300.00,1200.00,323.30,323.30,0.00
Esprit Sushi Fribourg,SamsungA40,550,19/05/2022 18:08,Propriétaire,19/05/2022 21:30,Propriétaire,332.00,45.00,0.00,0.00,0.00,377.00,377.00,0.00
Esprit Sushi Fribourg,SamsungA40,549,18/05/2022 18:14,Propriétaire,18/05/2022 21:42,Propriétaire,632.05,0.00,0.00,0.00,300.00,332.05,332.05,0.00
Esprit Sushi Fribourg,SamsungA40,548,18/05/2022 18:13,Propriétaire,18/05/2022 18:14,Propriétaire,0.00,0.00,0.00,0.00,0.00,0.00,632.05,632.05
Esprit Sushi Fribourg,SamsungA40,547,17/05/2022 18:18,Propriétaire,17/05/2022 22:14,Propriétaire,562.55,69.50,0.00,0.00,0.00,632.05,632.05,0.00
Esprit Sushi Fribourg,SamsungA40,546,15/05/2022 18:23,Propriétaire,15/05/2022 21:30,Propriétaire,562.45,0.00,0.00,0.00,0.00,562.45,562.45,0.00
Esprit Sushi Fribourg,SamsungA40,545,14/05/2022 17:44,Propriétaire,14/05/2022 20:37,Propriétaire,562.45,0.00,0.00,0.00,0.00,562.45,562.45,0.00
Esprit Sushi Fribourg,SamsungA40,544,13/05/2022 20:26,Propriétaire,13/05/2022 21:28,Propriétaire,477.05,85.40,0.00,0.00,0.00,562.45,562.45,0.00
Esprit Sushi Fribourg,SamsungA40,543,12/05/2022 18:05,Propriétaire,12/05/2022 21:02,Propriétaire,477.05,0.00,0.00,0.00,1.00,476.05,476.05,0.00
Esprit Sushi Fribourg,SamsungA40,542,11/05/2022 18:01,Propriétaire,11/05/2022 20:32,Propriétaire,477.05,0.00,0.00,0.00,0.00,477.05,477.05,0.00
Esprit Sushi Fribourg,SamsungA40,541,10/05/2022 21:01,Propriétaire,10/05/2022 21:36,Propriétaire,477.05,0.00,0.00,0.00,0.00,477.05,477.05,0.00
Esprit Sushi Fribourg,SamsungA40,540,08/05/2022 18:06,Propriétaire,08/05/2022 21:39,Propriétaire,349.75,127.30,0.00,0.00,0.00,477.05,477.05,0.00
Esprit Sushi Fribourg,SamsungA40,539,07/05/2022 18:02,Propriétaire,07/05/2022 21:28,Propriétaire,349.75,0.00,0.00,0.00,0.00,349.75,349.75,0.00
Esprit Sushi Fribourg,SamsungA40,538,07/05/2022 18:01,Propriétaire,07/05/2022 18:02,Propriétaire,344.75,0.00,0.00,0.00,0.00,344.75,344.75,0.00
Esprit Sushi Fribourg,SamsungA40,537,06/05/2022 17:50,Propriétaire,06/05/2022 21:30,Propriétaire,306.25,45.50,0.00,0.00,2.00,349.75,349.75,0.00
Esprit Sushi Fribourg,SamsungA40,536,05/05/2022 19:39,Propriétaire,05/05/2022 21:29,Propriétaire,306.25,0.00,0.00,0.00,0.00,306.25,306.25,0.00
Esprit Sushi Fribourg,SamsungA40,535,04/05/2022 17:37,Propriétaire,04/05/2022 20:31,Propriétaire,633.25,23.00,0.00,0.00,350.00,306.25,306.25,0.00
Esprit Sushi Fribourg,SamsungA40,534,03/05/2022 17:50,Propriétaire,03/05/2022 21:29,Propriétaire,588.25,45.00,0.00,0.00,0.00,633.25,633.25,0.00
Esprit Sushi Fribourg,SamsungA40,533,01/05/2022 18:15,Propriétaire,01/05/2022 21:32,Propriétaire,588.25,0.00,0.00,0.00,0.00,588.25,588.25,0.00
Esprit Sushi Fribourg,SamsungA40,532,30/04/2022 18:05,Propriétaire,30/04/2022 21:17,Propriétaire,515.80,72.45,0.00,0.00,0.00,588.25,588.25,0.00
Esprit Sushi Fribourg,SamsungA40,531,29/04/2022 21:18,Propriétaire,29/04/2022 21:34,Propriétaire,477.80,38.00,0.00,0.00,0.00,515.80,515.80,0.00
Esprit Sushi Fribourg,SamsungA40,530,28/04/2022 18:05,Propriétaire,28/04/2022 21:29,Propriétaire,477.80,0.00,0.00,0.00,0.00,477.80,477.80,0.00
Esprit Sushi Fribourg,SamsungA40,529,27/04/2022 17:38,Propriétaire,27/04/2022 21:39,Propriétaire,393.90,83.90,0.00,0.00,0.00,477.80,477.80,0.00
Esprit Sushi Fribourg,SamsungA40,528,26/04/2022 17:46,Propriétaire,26/04/2022 21:30,Propriétaire,802.20,91.70,0.00,0.00,500.00,393.90,393.90,0.00
Esprit Sushi Fribourg,Caisse principal 3,781,05/04/2022 16:31,Propriétaire,18/04/2022 14:25,Propriétaire,344.15,652.40,0.00,0.00,650.00,346.55,346.55,0.00
Esprit Sushi Fribourg,SamsungA40,527,15/04/2022 18:10,Propriétaire,15/04/2022 21:35,Propriétaire,758.70,43.50,0.00,0.00,0.00,802.20,802.20,0.00
Esprit Sushi Fribourg,SamsungA40,526,14/04/2022 18:09,Propriétaire,14/04/2022 21:58,Propriétaire,612.80,145.90,0.00,0.00,0.00,758.70,758.70,0.00
Esprit Sushi Fribourg,SamsungA40,525,12/04/2022 17:55,Propriétaire,13/04/2022 21:09,Propriétaire,589.80,23.00,0.00,0.00,0.00,612.80,612.80,0.00
Esprit Sushi Fribourg,SamsungA40,524,09/04/2022 18:06,Propriétaire,10/04/2022 21:47,Propriétaire,475.30,114.50,0.00,0.00,0.00,589.80,589.80,0.00
Esprit Sushi Fribourg,SamsungA40,523,08/04/2022 18:03,Propriétaire,08/04/2022 21:00,Propriétaire,475.30,0.00,0.00,0.00,0.00,475.30,475.30,0.00
Esprit Sushi Fribourg,SamsungA40,522,07/04/2022 17:49,Propriétaire,07/04/2022 21:32,Propriétaire,334.80,140.50,0.00,0.00,0.00,475.30,475.30,0.00
Esprit Sushi Fribourg,SamsungA40,521,05/04/2022 16:30,Propriétaire,05/04/2022 21:53,Propriétaire,785.80,49.00,0.00,0.00,500.00,334.80,334.80,0.00
Esprit Sushi Fribourg,Caisse principal 3,780,25/03/2022 20:06,Propriétaire,03/04/2022 21:33,Propriétaire,388.35,617.30,0.00,40.00,701.50,344.15,344.15,0.00
Esprit Sushi Fribourg,SamsungA40,520,03/04/2022 21:14,Propriétaire,03/04/2022 22:02,Propriétaire,740.80,49.00,0.00,0.00,4.00,785.80,785.80,0.00
Esprit Sushi Fribourg,SamsungA40,519,02/04/2022 17:51,Propriétaire,02/04/2022 21:33,Propriétaire,580.80,160.00,0.00,0.00,0.00,740.80,740.80,0.00
Esprit Sushi Fribourg,SamsungA40,518,01/04/2022 18:03,Propriétaire,01/04/2022 22:06,Propriétaire,502.80,78.00,0.00,0.00,0.00,580.80,580.80,0.00
Esprit Sushi Fribourg,SamsungA40,517,30/03/2022 21:01,Propriétaire,31/03/2022 21:53,Propriétaire,431.30,111.50,0.00,0.00,40.00,502.80,502.80,0.00
Esprit Sushi Fribourg,SamsungA40,516,29/03/2022 15:33,Propriétaire,29/03/2022 21:56,Propriétaire,585.40,45.90,0.00,0.00,200.00,431.30,431.30,0.00
Esprit Sushi Fribourg,SamsungA40,515,27/03/2022 17:46,Propriétaire,27/03/2022 22:20,Propriétaire,513.90,71.50,0.00,0.00,0.00,585.40,585.40,0.00
Esprit Sushi Fribourg,SamsungA40,514,26/03/2022 21:28,Propriétaire,27/03/2022 16:46,Propriétaire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Esprit Sushi Fribourg,SamsungA40,513,26/03/2022 18:06,Propriétaire,26/03/2022 21:28,Propriétaire,517.40,0.00,0.00,0.00,3.50,513.90,513.90,0.00
Esprit Sushi Fribourg,SamsungA40,512,25/03/2022 17:41,Propriétaire,25/03/2022 21:40,Propriétaire,406.50,110.90,0.00,0.00,0.00,517.40,517.40,0.00
Esprit Sushi Fribourg,Caisse principal 3,779,16/02/2022 18:16,Propriétaire,25/03/2022 08:07,Propriétaire,357.05,1519.30,8.00,1970.00,3450.00,388.35,388.35,0.00
Esprit Sushi Fribourg,SamsungA40,511,24/03/2022 18:14,Propriétaire,24/03/2022 21:41,Propriétaire,983.50,23.00,0.00,0.00,600.00,406.50,406.50,0.00
Esprit Sushi Fribourg,SamsungA40,510,23/03/2022 17:54,Propriétaire,23/03/2022 21:31,Propriétaire,959.00,24.50,0.00,0.00,0.00,983.50,983.50,0.00
Esprit Sushi Fribourg,SamsungA40,509,20/03/2022 20:28,Propriétaire,20/03/2022 21:34,Propriétaire,808.40,150.60,0.00,0.00,0.00,959.00,959.00,0.00
Esprit Sushi Fribourg,SamsungA40,508,18/03/2022 18:04,Propriétaire,18/03/2022 21:00,Propriétaire,716.95,91.45,0.00,0.00,0.00,808.40,808.40,0.00
Esprit Sushi Fribourg,SamsungA40,507,17/03/2022 17:47,Propriétaire,17/03/2022 21:34,Propriétaire,539.95,177.00,0.00,0.00,0.00,716.95,716.95,0.00
Esprit Sushi Fribourg,SamsungA40,506,16/03/2022 18:18,Propriétaire,16/03/2022 21:18,Propriétaire,399.05,140.90,0.00,0.00,0.00,539.95,539.95,0.00
Esprit Sushi Fribourg,SamsungA40,505,15/03/2022 18:11,Propriétaire,15/03/2022 21:55,Propriétaire,376.85,22.20,0.00,0.00,0.00,399.05,399.05,0.00
Esprit Sushi Fribourg,SamsungA40,504,13/03/2022 18:10,Propriétaire,13/03/2022 21:34,Propriétaire,776.65,0.00,0.00,0.00,400.00,376.65,376.65,0.00
Esprit Sushi Fribourg,SamsungA40,503,12/03/2022 18:05,Propriétaire,12/03/2022 21:29,Propriétaire,730.65,46.00,0.00,0.00,0.00,776.65,776.65,0.00
Esprit Sushi Fribourg,SamsungA40,502,11/03/2022 17:50,Propriétaire,11/03/2022 22:04,Propriétaire,684.65,46.00,0.00,0.00,0.00,730.65,730.65,0.00
Esprit Sushi Fribourg,SamsungA40,501,10/03/2022 17:50,Propriétaire,10/03/2022 21:43,Propriétaire,661.15,23.50,0.00,0.00,0.00,684.65,684.65,0.00
Esprit Sushi Fribourg,SamsungA40,500,09/03/2022 19:46,Propriétaire,09/03/2022 21:32,Propriétaire,526.75,134.40,0.00,0.00,0.00,661.15,661.15,0.00
Esprit Sushi Fribourg,SamsungA40,499,08/03/2022 18:09,Propriétaire,08/03/2022 21:24,Propriétaire,505.75,21.00,0.00,0.00,0.00,526.75,526.75,0.00
Esprit Sushi Fribourg,SamsungA40,498,06/03/2022 17:48,Propriétaire,06/03/2022 21:56,Propriétaire,420.65,85.00,0.00,0.00,0.00,505.65,505.65,0.00
Esprit Sushi Fribourg,SamsungA40,497,05/03/2022 19:59,Propriétaire,05/03/2022 21:55,Propriétaire,364.75,55.90,0.00,0.00,0.00,420.65,420.65,0.00
Esprit Sushi Fribourg,SamsungA40,496,04/03/2022 17:59,Propriétaire,04/03/2022 21:32,Propriétaire,540.75,44.00,0.00,0.00,220.00,364.75,364.75,0.00
Esprit Sushi Fribourg,SamsungA40,495,03/03/2022 18:09,Propriétaire,03/03/2022 21:30,Propriétaire,497.75,43.00,0.00,400.00,400.00,540.75,540.75,0.00
Esprit Sushi Fribourg,SamsungA40,494,02/03/2022 17:54,Propriétaire,02/03/2022 21:29,Propriétaire,755.35,142.40,0.00,0.00,0.00,897.75,897.75,0.00
Esprit Sushi Fribourg,SamsungA40,493,01/03/2022 18:04,Propriétaire,01/03/2022 21:13,Propriétaire,681.85,73.50,0.00,0.00,0.00,755.35,755.35,0.00
Esprit Sushi Fribourg,SamsungA40,492,26/02/2022 17:53,Propriétaire,27/02/2022 21:32,Propriétaire,755.45,276.40,0.00,0.00,350.00,681.85,681.85,0.00
Esprit Sushi Fribourg,SamsungA40,491,25/02/2022 18:12,Propriétaire,25/02/2022 21:34,Propriétaire,612.85,142.60,0.00,0.00,0.00,755.45,755.45,0.00
Esprit Sushi Fribourg,SamsungA40,490,23/02/2022 18:03,Propriétaire,24/02/2022 21:32,Propriétaire,470.35,140.90,0.00,0.00,0.00,611.25,611.25,0.00
Esprit Sushi Fribourg,SamsungA40,489,22/02/2022 18:00,Propriétaire,22/02/2022 21:30,Propriétaire,396.85,73.50,0.00,0.00,0.00,470.35,470.35,0.00
Esprit Sushi Fribourg,SamsungA40,488,20/02/2022 18:30,Propriétaire,20/02/2022 21:30,Propriétaire,589.85,0.00,0.00,0.00,0.00,589.85,589.85,0.00
Esprit Sushi Fribourg,SamsungA40,487,19/02/2022 18:05,Propriétaire,19/02/2022 21:35,Propriétaire,549.35,40.50,0.00,0.00,0.00,589.85,589.85,0.00
Esprit Sushi Fribourg,SamsungA40,486,18/02/2022 18:02,Propriétaire,18/02/2022 21:34,Propriétaire,512.35,35.50,0.00,0.00,0.00,547.85,547.85,0.00
Esprit Sushi Fribourg,SamsungA40,485,17/02/2022 18:01,Propriétaire,17/02/2022 21:06,Propriétaire,443.95,68.40,0.00,0.00,0.00,512.35,512.35,0.00
Esprit Sushi Fribourg,SamsungA40,484,16/02/2022 18:12,Propriétaire,16/02/2022 22:07,Propriétaire,501.05,142.90,0.00,0.00,200.00,443.95,443.95,0.00
Esprit Sushi Fribourg,Caisse principal 3,778,01/02/2022 17:13,Propriétaire,15/02/2022 22:09,Propriétaire,230.40,1326.65,0.00,0.00,1200.00,357.05,357.05,0.00
Esprit Sushi Fribourg,SamsungA40,483,14/02/2022 17:40,Propriétaire,14/02/2022 21:49,Propriétaire,477.55,23.50,0.00,0.00,0.00,501.05,501.05,0.00
Esprit Sushi Fribourg,Jose,1,14/02/2022 17:06,Propriétaire,14/02/2022 21:12,Propriétaire,280.90,0.00,0.00,0.00,0.00,280.90,280.90,0.00
Esprit Sushi Fribourg,SamsungA40,482,13/02/2022 18:04,Propriétaire,13/02/2022 21:47,Propriétaire,292.55,179.50,0.00,0.00,0.00,472.05,472.05,0.00
Esprit Sushi Fribourg,SamsungA40,481,12/02/2022 18:05,Propriétaire,12/02/2022 21:01,Propriétaire,292.55,0.00,0.00,0.00,0.00,292.55,292.55,0.00
Esprit Sushi Fribourg,SamsungA40,480,11/02/2022 17:43,Propriétaire,11/02/2022 21:32,Propriétaire,271.55,21.00,0.00,0.00,0.00,292.55,292.55,0.00
Esprit Sushi Fribourg,SamsungA40,479,10/02/2022 18:07,Propriétaire,10/02/2022 21:29,Propriétaire,371.55,0.00,0.00,0.00,100.00,271.55,271.55,0.00
Esprit Sushi Fribourg,SamsungA40,478,09/02/2022 17:37,Propriétaire,09/02/2022 21:35,Propriétaire,318.05,53.50,0.00,0.00,0.00,371.55,371.55,0.00
